category,subcategory,product_name,reference_date,vendor_group_name,price,,,,,,,,,,,,,
Baby,Formula,Nestle Lactogen 2 Infant Formula 400g,2025-01-08 00:00:00,Channell Supermarkets,,,,,,,,,,,,,,
Baby,Formula,Nestle Lactogen 2 Infant Formula 400g,2025-01-08 00:00:00,Cherish Supermarket,,,,,,,,,,,,,,
Baby,Formula,Nestle Lactogen 2 Infant Formula 400g,2025-01-08 00:00:00,Eddies Supermarket,,,,,,,,,,,,,,
Baby,Formula,Nestle Lactogen 2 Infant Formula 400g,2025-01-08 00:00:00,Fair Deals Supermarkets,,,,,,,,,,,,,,
Baby,Formula,Nestle Lactogen 2 Infant Formula 400g,2025-01-08 00:00:00,Jordans Supermarkets,,,,,,,,,,,,,,
Baby,Formula,Nestle Lactogen 2 Infant Formula 400g,2025-01-08 00:00:00,Lionel C Hill Supermarket,31.48,,,,,,,,,,,,,
Baby,Formula,Nestle Lactogen 2 Infant Formula 400g,2025-01-08 00:00:00,Massy Stores,,,,,,,,,,,,,,
Baby,Formula,Nestle Lactogen 2 Infant Formula 400g,2025-01-08 00:00:00,People's Market,,,,,,,,,,,,,,
Baby,Formula,Nestle Lactogen 2 Infant Formula 400g,2025-01-08 00:00:00,Popular Discount Supermarkets,,,,,,,,,,,,,,
Baby,Formula,Nestle Lactogen 2 Infant Formula 400g,2025-01-08 00:00:00,Price Lo,,,,,,,,,,,,,,
Baby,Formula,Nestle Lactogen 2 Infant Formula 400g,2025-01-08 00:00:00,Roxy Supermarket,,,,,,,,,,,,,,
Baby,Formula,Nestle Lactogen 2 Infant Formula 400g,2025-01-08 00:00:00,Savings Plus Supermarkets,,,,,,,,,,,,,,
Baby,Formula,Nestle Lactogen 2 Infant Formula 400g,2025-01-08 00:00:00,Trimart Supermarkets,,,,,,,,,,,,,,
Baby,Formula,Nestle Lactogen 2 Infant Formula 400g,2025-01-22 00:00:00,Aone Supermarkets,,,,,,,,,,,,,,
Baby,Formula,Nestle Lactogen 2 Infant Formula 400g,2025-01-22 00:00:00,Channell Supermarkets,,,,,,,,,,,,,,
Baby,Formula,Nestle Lactogen 2 Infant Formula 400g,2025-01-22 00:00:00,Cherish Supermarket,20.99,,,,,,,,,,,,,
Baby,Formula,Nestle Lactogen 2 Infant Formula 400g,2025-01-22 00:00:00,Eddies Supermarket,,,,,,,,,,,,,,
Baby,Formula,Nestle Lactogen 2 Infant Formula 400g,2025-01-22 00:00:00,Fair Deals Supermarkets,,,,,,,,,,,,,,
Baby,Formula,Nestle Lactogen 2 Infant Formula 400g,2025-01-22 00:00:00,Jordans Supermarkets,,,,,,,,,,,,,,
Baby,Formula,Nestle Lactogen 2 Infant Formula 400g,2025-01-22 00:00:00,Lionel C Hill Supermarket,,,,,,,,,,,,,,
Baby,Formula,Nestle Lactogen 2 Infant Formula 400g,2025-01-22 00:00:00,Massy Stores,,,,,,,,,,,,,,
Baby,Formula,Nestle Lactogen 2 Infant Formula 400g,2025-01-22 00:00:00,People's Market,,,,,,,,,,,,,,
Baby,Formula,Nestle Lactogen 2 Infant Formula 400g,2025-01-22 00:00:00,Popular Discount Supermarkets,,,,,,,,,,,,,,
Baby,Formula,Nestle Lactogen 2 Infant Formula 400g,2025-01-22 00:00:00,Price Lo,,,,,,,,,,,,,,
Baby,Formula,Nestle Lactogen 2 Infant Formula 400g,2025-01-22 00:00:00,Roxy Supermarket,,,,,,,,,,,,,,
Baby,Formula,Nestle Lactogen 2 Infant Formula 400g,2025-01-22 00:00:00,Savings Plus Supermarkets,,,,,,,,,,,,,,
Baby,Formula,Nestle Lactogen 2 Infant Formula 400g,2025-01-22 00:00:00,Trimart Supermarkets,,,,,,,,,,,,,,
Baby,Formula,Nestle Lactogen 3 Infant Formula 350g,2025-01-08 00:00:00,Aone Supermarkets,,,,,,,,,,,,,,
Baby,Formula,Nestle Lactogen 3 Infant Formula 350g,2025-01-08 00:00:00,Channell Supermarkets,,,,,,,,,,,,,,
Baby,Formula,Nestle Lactogen 3 Infant Formula 350g,2025-01-08 00:00:00,Cherish Supermarket,,,,,,,,,,,,,,
Baby,Formula,Nestle Lactogen 3 Infant Formula 350g,2025-01-08 00:00:00,Eddies Supermarket,,,,,,,,,,,,,,
Baby,Formula,Nestle Lactogen 3 Infant Formula 350g,2025-01-08 00:00:00,Fair Deals Supermarkets,,,,,,,,,,,,,,
Baby,Formula,Nestle Lactogen 3 Infant Formula 350g,2025-01-08 00:00:00,Jordans Supermarkets,,,,,,,,,,,,,,
Baby,Formula,Nestle Lactogen 3 Infant Formula 350g,2025-01-08 00:00:00,Lionel C Hill Supermarket,,,,,,,,,,,,,,
Baby,Formula,Nestle Lactogen 3 Infant Formula 350g,2025-01-08 00:00:00,Massy Stores,16.99,,,,,,,,,,,,,
Baby,Formula,Nestle Lactogen 3 Infant Formula 350g,2025-01-08 00:00:00,People's Market,,,,,,,,,,,,,,
Baby,Formula,Nestle Lactogen 3 Infant Formula 350g,2025-01-08 00:00:00,Popular Discount Supermarkets,,,,,,,,,,,,,,
Baby,Formula,Nestle Lactogen 3 Infant Formula 350g,2025-01-08 00:00:00,Price Lo,16.69,,,,,,,,,,,,,
Baby,Formula,Nestle Lactogen 3 Infant Formula 350g,2025-01-08 00:00:00,Roxy Supermarket,,,,,,,,,,,,,,
Baby,Formula,Nestle Lactogen 3 Infant Formula 350g,2025-01-08 00:00:00,Savings Plus Supermarkets,,,,,,,,,,,,,,
Baby,Formula,Nestle Lactogen 3 Infant Formula 350g,2025-01-08 00:00:00,Trimart Supermarkets,,,,,,,,,,,,,,
Baby,Formula,Nestle Lactogen 3 Infant Formula 350g,2025-01-22 00:00:00,Aone Supermarkets,16.99,,,,,,,,,,,,,
Baby,Formula,Nestle Lactogen 3 Infant Formula 350g,2025-01-22 00:00:00,Channell Supermarkets,,,,,,,,,,,,,,
Baby,Formula,Nestle Lactogen 3 Infant Formula 350g,2025-01-22 00:00:00,Cherish Supermarket,,,,,,,,,,,,,,
Baby,Formula,Nestle Lactogen 3 Infant Formula 350g,2025-01-22 00:00:00,Eddies Supermarket,,,,,,,,,,,,,,
Baby,Formula,Nestle Lactogen 3 Infant Formula 350g,2025-01-22 00:00:00,Fair Deals Supermarkets,,,,,,,,,,,,,,
Baby,Formula,Nestle Lactogen 3 Infant Formula 350g,2025-01-22 00:00:00,Jordans Supermarkets,16.6,,,,,,,,,,,,,
Baby,Formula,Nestle Lactogen 3 Infant Formula 350g,2025-01-22 00:00:00,Lionel C Hill Supermarket,,,,,,,,,,,,,,
Baby,Formula,Nestle Lactogen 3 Infant Formula 350g,2025-01-22 00:00:00,Massy Stores,,,,,,,,,,,,,,
Baby,Formula,Nestle Lactogen 3 Infant Formula 350g,2025-01-22 00:00:00,People's Market,,,,,,,,,,,,,,
Baby,Formula,Nestle Lactogen 3 Infant Formula 350g,2025-01-22 00:00:00,Popular Discount Supermarkets,,,,,,,,,,,,,,
Baby,Formula,Nestle Lactogen 3 Infant Formula 350g,2025-01-22 00:00:00,Price Lo,,,,,,,,,,,,,,
Baby,Formula,Nestle Lactogen 3 Infant Formula 350g,2025-01-22 00:00:00,Roxy Supermarket,,,,,,,,,,,,,,
Baby,Formula,Nestle Lactogen 3 Infant Formula 350g,2025-01-22 00:00:00,Savings Plus Supermarkets,,,,,,,,,,,,,,
Baby,Formula,Nestle Lactogen 3 Infant Formula 350g,2025-01-22 00:00:00,Trimart Supermarkets,,,,,,,,,,,,,,
Baby,Formula,Nestle Lactogen Soy Infant Formula 728g,2025-01-22 00:00:00,Aone Supermarkets,,,,,,,,,,,,,,
Baby,Formula,Nestle Lactogen Soy Infant Formula 728g,2025-01-22 00:00:00,Channell Supermarkets,,,,,,,,,,,,,,
Baby,Formula,Nestle Lactogen Soy Infant Formula 728g,2025-01-22 00:00:00,Cherish Supermarket,46.99,,,,,,,,,,,,,
Baby,Formula,Nestle Lactogen Soy Infant Formula 728g,2025-01-22 00:00:00,Eddies Supermarket,,,,,,,,,,,,,,
Baby,Formula,Nestle Lactogen Soy Infant Formula 728g,2025-01-22 00:00:00,Fair Deals Supermarkets,,,,,,,,,,,,,,
Baby,Formula,Nestle Lactogen Soy Infant Formula 728g,2025-01-22 00:00:00,Jordans Supermarkets,,,,,,,,,,,,,,
Baby,Formula,Nestle Lactogen Soy Infant Formula 728g,2025-01-22 00:00:00,Lionel C Hill Supermarket,,,,,,,,,,,,,,
Baby,Formula,Nestle Lactogen Soy Infant Formula 728g,2025-01-22 00:00:00,Massy Stores,,,,,,,,,,,,,,
Baby,Formula,Nestle Lactogen Soy Infant Formula 728g,2025-01-22 00:00:00,People's Market,,,,,,,,,,,,,,
Baby,Formula,Nestle Lactogen Soy Infant Formula 728g,2025-01-22 00:00:00,Popular Discount Supermarkets,,,,,,,,,,,,,,
Baby,Formula,Nestle Lactogen Soy Infant Formula 728g,2025-01-22 00:00:00,Price Lo,,,,,,,,,,,,,,
Baby,Formula,Nestle Lactogen Soy Infant Formula 728g,2025-01-22 00:00:00,Roxy Supermarket,,,,,,,,,,,,,,
